source,target,relation,source_doc,attributes_json
doc_ev_battery_chain.json,ChileMine Ltd,HAS_RAW_MATERIAL_SUPPLIER,doc_ev_battery_chain.json,{}
doc_ev_battery_chain.json,KoreanCell Co,HAS_COMPONENT_MANUFACTURER,doc_ev_battery_chain.json,{}
doc_ev_battery_chain.json,AutoNova Inc,HAS_MANUFACTURER,doc_ev_battery_chain.json,{}
doc_ev_battery_chain.json,Chile water restriction 6 months,HAS_RISK_EVENT,doc_ev_battery_chain.json,{}
doc_ev_battery_chain.json,KoreanCell cyberattack on OT,HAS_RISK_EVENT,doc_ev_battery_chain.json,{}
ChileMine Ltd,KoreanCell Co,SUPPLIES,doc_ev_battery_chain.json,"{""material"": ""lithium carbonate"", ""share"": 0.65}"
KoreanCell Co,AutoNova Inc,SUPPLIES,doc_ev_battery_chain.json,"{""component"": ""lithium-ion cells"", ""share"": 1.0}"
AutoNova Inc,ElectroVan EV Battery Pack,ASSEMBLES,doc_ev_battery_chain.json,{}
doc_ev_battery_chain.json,EU_Battery_Regulation_2023,HAS_REGULATION,doc_ev_battery_chain.json,{}
EU_Battery_Regulation_2023,ChileMine Ltd,REGULATES,doc_ev_battery_chain.json,{}
EU_Battery_Regulation_2023,KoreanCell Co,REGULATES,doc_ev_battery_chain.json,{}
EU_Battery_Regulation_2023,AutoNova Inc,REGULATES,doc_ev_battery_chain.json,{}
Chile water restriction 6 months,ChileMine Ltd,AFFECTS,doc_ev_battery_chain.json,{}
Chile water restriction 6 months,KoreanCell Co,AFFECTS,doc_ev_battery_chain.json,{}
Chile water restriction 6 months,AutoNova Inc,AFFECTS,doc_ev_battery_chain.json,{}
KoreanCell Co,AutoNova Inc,CUSTOMER_OF_SUPPLIER,doc_ev_battery_chain.json,{}
KoreanCell Co,ElectroCar UK,CUSTOMER_OF_SUPPLIER,doc_ev_battery_chain.json,{}
doc_foodcorp_packaging.json,PackPlast Vietnam,HAS_PACKAGING_SUPPLIER,doc_foodcorp_packaging.json,{}
doc_foodcorp_packaging.json,FoodCorp USA,HAS_FOOD_MANUFACTURER,doc_foodcorp_packaging.json,{}
doc_foodcorp_packaging.json,PharmaPack EU,HAS_PHARMA_MANUFACTURER,doc_foodcorp_packaging.json,{}
doc_foodcorp_packaging.json,ISO 22000 Mandate,HAS_REGULATORY_EVENT,doc_foodcorp_packaging.json,{}
PackPlast Vietnam,FoodCorp USA,SUPPLIES,doc_foodcorp_packaging.json,"{""material"": ""food-grade packaging"", ""volume_share"": 0.8}"
PackPlast Vietnam,PharmaPack EU,SUPPLIES,doc_foodcorp_packaging.json,"{""material"": ""pharmaceutical packaging"", ""volume_share"": 0.9}"
ISO 22000 Mandate,PackPlast Vietnam,REGULATES,doc_foodcorp_packaging.json,{}
ISO 22000 Mandate,FoodCorp USA,REGULATES,doc_foodcorp_packaging.json,{}
ISO 22000 Mandate,PharmaPack EU,REGULATES,doc_foodcorp_packaging.json,{}
PackPlast Vietnam,FoodCorp USA,CUSTOMER_OF_SUPPLIER,doc_foodcorp_packaging.json,{}
PackPlast Vietnam,PharmaPack EU,CUSTOMER_OF_SUPPLIER,doc_foodcorp_packaging.json,{}
doc_houston_petrochem.json,Houston Petrochem Complex,DESCRIBES,doc_houston_petrochem.json,{}
