node_id,label,node_type,source_docs,attributes_json
"Lynas Rare Earths (Australia, partial)","Lynas Rare Earths (Australia, partial)",alternate_supplier,doc_novatech_router.json,{}
"MP Materials (USA, partial)","MP Materials (USA, partial)",alternate_supplier,doc_novatech_router.json,{}
AutoNova Germany,AutoNova Germany,automotive_manufacturer,doc_steel_cbam.json,"{""type"": ""automotive_manufacturer"", ""steel_sources"": [""SteelCo India"", ""CanAlum Canada"", ""BrazilSteel""]}"
"EUChip GmbH (partial, 40% capacity cover)","EUChip GmbH (partial, 40% capacity cover)",backup_supplier,doc_taiwan_supplier.json,{}
Cape of Good Hope,Cape of Good Hope,chokepoint,doc_shipping_routes.json,{}
North Atlantic,North Atlantic,chokepoint,doc_shipping_routes.json,{}
South Atlantic,South Atlantic,chokepoint,doc_shipping_routes.json,{}
Strait of Malacca,Strait of Malacca,chokepoint,doc_shipping_routes.json,"{""name"": ""Strait of Malacca"", ""throughput_TEU_per_day"": 80, ""risk"": ""MEDIUM""}"
Suez + Atlantic,Suez + Atlantic,chokepoint,doc_shipping_routes.json,{}
Suez Canal,Suez Canal,chokepoint,doc_shipping_routes.json,"{""name"": ""Suez Canal"", ""throughput_TEU_per_day"": 50, ""risk"": ""HIGH (geopolitical, vessel congestion)""}"
Aluminum Casing,Aluminum Casing,component,doc_medequip_bom.json,"{""component"": ""Aluminum Casing"", ""supplier"": ""RussiaMetals Corp"", ""origin"": ""Russia"", ""criticality"": ""HIGH"", ""geopolitical_event"": ""Russia-Ukraine war — Western sanctions active"", ""risk_score"": 8}"
Microcontrollers,Microcontrollers,component,doc_medequip_bom.json,"{""component"": ""Microcontrollers"", ""supplier"": ""TaiwanChip-3"", ""origin"": ""Taiwan"", ""criticality"": ""CRITICAL"", ""geopolitical_event"": ""Taiwan Strait tension — shipping insurance +300%"", ""risk_score"": 5}"
Oxygen Sensors,Oxygen Sensors,component,doc_medequip_bom.json,"{""component"": ""Oxygen Sensors"", ""supplier"": ""GermanSens GmbH"", ""origin"": ""Germany"", ""criticality"": ""HIGH"", ""geopolitical_event"": ""None active"", ""risk_score"": 2}"
Plastic Tubing,Plastic Tubing,component,doc_medequip_bom.json,"{""component"": ""Plastic Tubing"", ""supplier"": ""PetroChemSA Brazil"", ""origin"": ""Brazil"", ""criticality"": ""MEDIUM"", ""geopolitical_event"": ""Brazil 20% plastic export tax"", ""risk_score"": 3}"
KoreanCell Co,KoreanCell Co,component_manufacturer,doc_ev_battery_chain.json,"{""type"": ""component_manufacturer"", ""tier"": 2, ""location"": ""Ulsan, South Korea"", ""products"": [""lithium-ion cells"", ""battery modules""], ""input_materials"": [""lithium carbonate from ChileMine""], ""annual_capacity_GWh"": 35, ""geopolitical_risk_score"": 3.5, ""natural_disaster_risk"": ""MEDIUM (typhoon, seismic)"", ""cybersecurity_risk"": ""HIGH (OT/IT systems, prior sector attacks)"", ""customers"": [""AutoNova Inc"", ""ElectroCar UK""]}"
BMW,BMW,customer,doc_maersk_cyber.json,{}
ElectroCar UK,ElectroCar UK,customer,doc_ev_battery_chain.json,{}
Toyota Europe,Toyota Europe,customer,doc_maersk_cyber.json,{}
US retail chains,US retail chains,customer,doc_maersk_cyber.json,{}
"Gothenburg, Sweden","Gothenburg, Sweden",destination,doc_shipping_routes.json,{}
"Hamburg, Germany","Hamburg, Germany",destination,doc_shipping_routes.json,{}
"New York, USA","New York, USA",destination,doc_shipping_routes.json,{}
doc_ev_battery_chain.json,ElectroVan EV Battery Pack Supply Chain,document,doc_ev_battery_chain.json,"{""doc_type"": ""supply_chain_graph""}"
doc_foodcorp_packaging.json,FoodCorp USA & PharmaPack EU - Packaging Supply Chain,document,doc_foodcorp_packaging.json,"{""doc_type"": ""supply_chain_graph""}"
doc_houston_petrochem.json,Houston Petrochemical Complex - Risk Profile,document,doc_houston_petrochem.json,"{""doc_type"": ""industrial_cluster_document""}"
doc_la_port_strike.json,Port of Los Angeles - Strike Impact Model,document,doc_la_port_strike.json,"{""doc_type"": ""logistics_risk_document""}"
doc_maersk_cyber.json,MaerskLogistics Cyber Incident Profile,document,doc_maersk_cyber.json,"{""doc_type"": ""risk_event_document""}"
doc_medequip_bom.json,MedEquip Ltd - Ventilator Bill of Materials & Supply Chain,document,doc_medequip_bom.json,"{""doc_type"": ""bom_supply_chain""}"
doc_novatech_router.json,NovaTech 5G Router Supply Chain Graph,document,doc_novatech_router.json,"{""doc_type"": ""product_supply_chain""}"
doc_semiconductor_tariff.json,Semiconductor Dependency & Tariff Risk Map,document,doc_semiconductor_tariff.json,"{""doc_type"": ""risk_knowledge_graph""}"
doc_shanghai_port.json,Port of Shanghai - Global Logistics Impact Profile,document,doc_shanghai_port.json,"{""doc_type"": ""logistics_node""}"
doc_shipping_routes.json,Global Logistics Route Network,document,doc_shipping_routes.json,"{""doc_type"": ""logistics_graph""}"
